"customer_id","date","rating","reviewText","imageCount","helpfulCount","nonHelpfulCount"
"7095145","17 апреля, 17:55","5","Свитер качественный, в размер. Телу приятный. Благодарю WB!",0,"0","0"
"14420363","9 апреля, 22:18","5","Мне очень понравился. Стильный, интересный образ",0,"0","0"
"19850859","16 февраля, 17:44","5","Очень приятный, мягкий, аккуратный. Не колется обсалютно, не пойму отзывы, где про него пишут что колется, может это не про такой свитер отзыв. И горловина прикольная, необычная, на мне очень хорошо лег такой ворот. При том, что он как бы пушистый, сильной полноты плюшевого мишки не дает. Цвет ближе к молочному. Один раз одела, а несколько человек подошли его потрогать и спросить где его купила!!! На размер 48-50 сел хорошо, не в обтяг и не висит сильно, типа модного сейчас оверсайз получилось))",0,"4","1"
"18270834","17 февраля, 21:02","5","Прелестный! 💙",1,"5","0"
"11348389","9 февраля, 20:46","5","Моя любимая вещь в зимнее время года! Мягкая, тёплая! Рекомендую!",1,"6","0"
"19429841","28 января, 11:55","3","Свитер, модель не ронравилась....., особенно горловина изделия, смотрится несуразно, поэтому возврат (",0,"0","0"
"22171874","21 января, 22:35","3","Цвет голубо - бирюзовый, свитер на ощупь колючий",0,"0","1"
"11770841","18 января, 21:19","5","Прекрасный свитер. Очень тёплый и удобный. После стирки в машинке никаких изменений. Сушу горизонтально. На 175 рукава идеальной длины, до запястья",0,"1","0"
"17571776","2 октября 2019, 10:54","5","Пришёл тот свитер , что и на модели , очень нежный , тёплый , на свой 46 заказала 44 , сел отлично .",0,"2","0"
"11354404","4 января, 19:07","5","Свитер хороший,модель просто мне не подошла",0,"1","0"
"1778359","31 декабря 2019, 15:12","5","Тепленький свитер. Не колется.Мягкий. Цвет как на фото. Для зимы самый раз.",0,"1","0"
"19060914","27 декабря 2019, 19:00","5","очень крутой свитер.качество огонь. не садится, не скатывается.после стирки как новый",0,"1","0"
"17615819","25 декабря 2019, 15:18","5","Хороший мягкий-оверсайз.. Клево смотрится-и в пир и в мир) рекомендую!",0,"1","0"
"4827702","15 декабря 2019, 1:12","5","Цвет написан ""молочный"", по факту абсолютно белый как я и хотела. Теперь это мой любимый свитер-прям вылезать из него не хочется настолько он приятный к телу и выглядит в белом цвете очень красиво.",0,"3","0"
"16661683","9 декабря 2019, 20:06","5","Прекрасный,теплый,нежный свитер.На мой размер 50-52 подошел великолепно 50,рост 174.Спасибо производителю и магазину",0,"2","0"
"15825624","9 декабря 2019, 16:18","5","Очень клёвый свитер, смотрится классно, приятный к телу. Советую🌺",0,"2","0"
"5441538","7 декабря 2019, 21:02","5","Джемпер приятный к телу, мягкий, цвет и размер соответствует. Отказ, для моего роста 172 короткий",0,"1","0"
"11298120","3 декабря 2019, 15:02","5","Классный и цвет, и фактура, но на худышек ((( очень полнит.",1,"5","3"
"16636371","2 декабря 2019, 10:33","4","Свитер по качеству хороший, но сильно увеличивает плечи и грудь( 3р).Можно брать на размер меньше, но , думаю , лучше не будет. Придает объем.Больше подойдет для очень худеньких девочек.",0,"2","0"
